Manufacturer;Name;FlashDevice;DeviceFamily;BetaSupport;ExternalBus;Endian;CoreId;BaseAddr;RAMAddr;RAMSize
Analog;ADuC7020x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7021x32;ADuC702xx32 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;1000
Analog;ADuC7021x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7022x32;ADuC702xx32 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;1000
Analog;ADuC7022x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7024x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7025x32;ADuC702xx32 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;1000
Analog;ADuC7025x62;ADuC702xx62 internal;070000FF;0;0;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7026x62;ADuC702xx62 internal;070000FF;0;1;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7027x62;ADuC702xx62 internal;070000FF;0;1;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7028x62;ADuC7028x62 internal;070000FF;0;1;0;3F0F0F0F;80000;10000;2000
Analog;ADuC7030;ADuC7030 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7031;ADuC7031 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7032;ADuC7032 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1800
Analog;ADuC7033;ADuC7033 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1800
Analog;ADuC7034;ADuC7034 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7038;ADuC7038 internal;070001FF;0;1;0;127E91CB;80000;40000;1000
Analog;ADuC7060;ADuC7060 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7061;ADuC7061 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
Analog;ADuC7062;ADuC7062 internal;070000FF;0;1;0;3F0F0F0F;80000;40000;1000
